keyword,name,price,price_int,stock,rating,shop.city,shop.is_gold,shop.is_official,shop.is_power_badge,shop.name
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell BPOM Kalbe - 30 Softgel,Rp 167.500,167500,32767,0,Jakarta,False,False,False,MWK Skincare Indonesia
BLACKMORES BIO ACE EXCELL (30),BLACKMORES BIO ACE EXCELL ISI 30 SOFTCAP,Rp 157.500,157500,3,0,Semarang,True,False,True,GROSIR ALKES SUPLEMEN
BLACKMORES BIO ACE EXCELL (30),"Blackmores Bio Ace Excell, 30 Soft Capsules KALBE",Rp 157.500,157500,32767,0,Depok,True,False,True,Oztokovitamin
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell BPOM Kalbe - 30 Softgel,Rp 177.500,177500,32767,0,Jakarta,False,False,False,MrSupply
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell BPOM Kalbe - 30 Softgel MGBV42,Rp 177.500,177500,32767,0,Jakarta,True,False,True,millenialistofficial
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell BPOM Kalbe - 30 Softgel,Rp 150.000,150000,32767,0,Jakarta,False,False,False,agensuplemen
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell Kalbe BPOM - 30 Softgel,Rp 209.000,209000,100,0,Jakarta,False,False,False,Bibit mantap
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell 30 Softgel Paling Murah,Rp 206.000,206000,49,0,Jakarta,False,False,False,Sarifahnr
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell 30 Softgel Murah,Rp 206.000,206000,42,0,Jakarta,False,False,False,chentia
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell 30 BPOM KALBE,Rp 219.000,219000,32,0,Jakarta,False,False,False,Earnny.Store
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell 30 BPOM KALBE 151,Rp 232.000,232000,32,0,Jakarta,False,False,False,mizarf
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell 30 BPOM KALBE 901,Rp 232.000,232000,32,0,Jakarta,False,False,False,serbutoko
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell 30 BPOM KALBE,Rp 368.000,368000,32,0,Jakarta,False,False,False,delima pasar
BLACKMORES BIO ACE EXCELL (30),New Blackmores Bio Ace Excell 30 Softgel,Rp 203.550,203550,32767,0,Jakarta,False,False,False,evikusumasport
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell 30 BPOM KALBE,Rp 273.000,273000,50,0,Jakarta,False,False,False,Dsong Mart
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell (30) BPOM KALBE,Rp 252.000,252000,100,0,Jakarta,False,False,False,Global Auto IDN
BLACKMORES BIO ACE EXCELL (30),SS Blackmores Bio Ace Excell 30 BPOM KALBE,Rp 222.000,222000,32,0,Jakarta,False,False,False,Titi ID1
BLACKMORES BIO ACE EXCELL (30),Hot Produk Blackmores Bio Ace Excell 30 Softgel Tbk,Rp 242.000,242000,32767,0,Jakarta,False,False,False,iqbal ramadhani
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell 30 BPOM KALBE 151,Rp 232.000,232000,32,0,Jakarta,False,False,False,karsui
BLACKMORES BIO ACE EXCELL (30),Blackmores Bio Ace Excell 30 Softgel,Rp 213.000,213000,100,0,Jakarta,False,False,False,Toko Beals
